Area,Name,Rating,Total Ratings,Address,Latitude,Longitude,Popularity Score,Estimated Monthly Visitors,Average Spend,Estimated Revenue,Cafe Category,
Dadar,Starbucks,4.4,789,"First Floor Lobby Indiabulls Finance Centre Center Point Building, Parel, Mumbai, Maharashtra 400013, India",19.0102795,72.8351533,3471.6,19725,? 450.00,"? 88,76,250.00",Popular,
Dadar,Edhas Cafe,4.9,18,"F&B, 2nd floor, Kohinoor Square, Unit no 2, N C. Kelkar Marg, Dadar West, Mumbai, Maharashtra 400028, India",19.0249871,72.8415123,88.2,450,? 550.00,"? 2,47,500.00",Premium,
Dadar,Cafe Curious,4.2,64,"Noble Plus Pharmacy, Shop 4, Vaibhav Mahim Building, Swatantryaveer Savarkar Rd, Opposite, Mahim West, Mumbai, Maharashtra 400016, India",19.0312231,72.8384687,268.8,1600,? 350.00,"? 5,60,000.00",Popular,
Worli,Light House Cafe & Bar,3.9,3213,"Sunville Building, Dr.Annie Besant Road, Love Grove Flyover, Siddharth Nagar, Worli, Mumbai, Maharashtra 400018, India",18.9942956,72.8149495,12530.7,80325,? 350.00,"? 2,81,13,750.00",Average,
Worli,Cafe Noir,4.2,206,"World Crest, Unit no.1A & 1B, Lodha, Upper Worli, Lower Parel, Mumbai, Maharashtra 400013, India",19.0023096,72.8274941,865.2,5150,? 350.00,"? 18,02,500.00",Popular,
Worli,Stand By Coffee,4.1,142,"Shop No. 3, Kakad Estate, 4 & 5, Dr RG Thadani Marg, opposite Baskin Robbins, B Wing, Siddharth Nagar, Worli, Mumbai, Maharashtra 400018, India",19.0014295,72.8149327,582.2,3550,? 350.00,"? 12,42,500.00",Popular,
Worli,Toise Coffee Roastery + Brewstudio,4.9,109,"Shop No.1, Madhuhans, Dr Annie Besant Rd, Adarsh Nagar, Worli, Mumbai, Maharashtra 400030, India",19.0125793,72.8219574,534.1,2725,? 550.00,"? 14,98,750.00",Premium,
Worli,Cafe Free India,4.2,1675,"Ground Floor, 39/41, NM Joshi Marg, opposite Deepak Cinema, Lower Parel West, Parel, Mumbai, Maharashtra 400013, India",19.0056126,72.8310346,7035,41875,? 350.00,"? 1,46,56,250.00",Popular,
Worli,Iteeha Coffee,4.6,385,"Ground Floor, Urmi Axis Building, West, behind Famous studio, opp. Doctor Elijah Moses Road, Mahalakshmi, Mumbai, Maharashtra 400011, India",18.9881865,72.8243296,1771,9625,? 450.00,"? 43,31,250.00",Premium,
Worli,Starbucks,4.3,2352,"UGF, Century Bhavan, Sadanand Hasu Tandel Marg, Century Bazaar, Worli, Mumbai, Maharashtra 400030, India",19.012696,72.823789,10113.6,58800,? 350.00,"? 2,05,80,000.00",Popular,
Worli,Teasy Express,4.9,58,"L-15, Dainik Shivner Marg, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018, India",18.9954136,72.8227666,284.2,1450,? 550.00,"? 7,97,500.00",Premium,
Worli,Chaos Control Cafe,4.3,2687,"Gr. Floor, Crystal Towers St. Xavier's Street, Parel, Mumbai, Maharashtra 400012, India",19.0062624,72.8407918,11554.1,67175,? 350.00,"? 2,35,11,250.00",Popular,
Worli,Cafe Panama,4.4,611,"Lower Parel Compound, SJ Marg, Lower Parel, Mumbai, Maharashtra 400013, India",19.00022,72.830249,2688.4,15275,? 450.00,"? 68,73,750.00",Popular,
Worli,Zane's Cafe,4.4,258,"RR House, Todi Mill Compound, Senapati Bapat Marg, opposite Ideal Industrial Estate, Railway Colony, Lower Parel, Mumbai, Maharashtra 400013, India",19.0012553,72.8293676,1135.2,6450,? 450.00,"? 29,02,500.00",Popular,
Worli,Brunch & Cake Mumbai,4.3,190,"Unit no G - 04, Altimus, Dr, GM Bhosale Marg, opp. worli mahindra towers, B Wing, BDD Chawls Worli, Worli, Mumbai, Maharashtra 400018, India",19.0061202,72.8202995,817,4750,? 350.00,"? 16,62,500.00",Popular,
Worli,Diablo Mumbai,4.3,7569,"Pandurang Budhkar Marg, Worli, Mumbai, Maharashtra 400013, India",19.0061341,72.8274333,32546.7,189225,? 350.00,"? 6,62,28,750.00",Popular,
Worli,Cafe Bae,4.5,257,"Monorail Station, Shop No 14 Shivaji Nagar N M Joshi Marg, Delisle Rd, below Lower Parel, Lower Parel East, Mumbai, Maharashtra 400013, India",18.9925303,72.8313058,1156.5,6425,? 450.00,"? 28,91,250.00",Premium,
Worli,Cafe Reed Mumbai,4.6,287,"8th Floor, Tower 2A, One World Center, Lower Parel, Mumbai, Maharashtra 400013, India",19.0067083,72.8327255,1320.2,7175,? 450.00,"? 32,28,750.00",Premium,
Worli,Slink & Bardot,4.7,6185,"Thadani House 329/A Opposite Indian Coast Guard Worli Village, Mumbai, Maharashtra 400030, India",19.017247,72.817521,29069.5,154625,? 550.00,"? 8,50,43,750.00",Premium,
Worli,145 The Mill,4.4,2782,"Unit 906, Trade World, Kamala Mills Compound, C Wing, Senapati Bapat Marg, Lower Parel, W, Maharashtra 400013, India",19.0029528,72.828035,12240.8,69550,? 450.00,"? 3,12,97,500.00",Popular,
Worli,SAZ Caf??,4.4,176,"NRK House, 1, Senapati Bapat Marg, next to Kamala Mills gate, Lower Parel, Mumbai, Maharashtra 400013, India",19.0019192,72.8293025,774.4,4400,? 450.00,"? 19,80,000.00",Popular,
Worli,Praia Bar & Kitchen,4.4,162,"Atria Rooftop, above Inox, Lotus Colony, Worli, Mumbai, Maharashtra 400018, India",18.9909998,72.8144038,712.8,4050,? 450.00,"? 18,22,500.00",Popular,
Worli,Reap-Eat Cafe,4.8,325,"Tilak Bhavan, Parel Railway Station, Shop no. 2, Bhori Chawl, Senapati Bapat Marg, West, opposite One International Center, Parel, Mumbai, Maharashtra 400028, India",19.0113906,72.8352692,1560,8125,? 550.00,"? 44,68,750.00",Premium,
Worli,Lay Bhari Cafe,4.7,12,"Janata Colony, BPT Colony, Worli, Mumbai, Maharashtra 400030, India",19.0168408,72.8205037,56.4,300,? 550.00,"? 1,65,000.00",Premium,
Worli,Lord of the Drinks Worli,4.4,6031,"Utopia City, 3rd Floor Trade View Building, gate 4, Pandurang Budhkar Marg, Lower Parel, Mumbai, Maharashtra 400013, India",19.0058682,72.8266546,26536.4,150775,? 450.00,"? 6,78,48,750.00",Popular,
Worli,Palladium Social,4.3,5072,"Shop 462, Third Floor, Palladium Mall, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India",18.9947103,72.8244742,21809.6,126800,? 350.00,"? 4,43,80,000.00",Popular,
Worli,New Modern Cafe And Lunch Home,3.8,589,"Dr. A, B. Road, Adarsh Nagar, Worli, Mumbai, Maharashtra 400030, India",19.01253,72.8222561,2238.2,14725,? 350.00,"? 51,53,750.00",Average,
Worli,Starbucks,4.5,1547,"Ground Fl, Victoria Mills Senapati Bapat Marg, near Smaash, Lower Parel, Mumbai, Maharashtra 400019, India",19.0054544,72.8260742,6961.5,38675,? 450.00,"? 1,74,03,750.00",Premium,
Worli,Dhaba Cafe Lower Parel,4.4,637,"287/7, Mariyam Mansion, Ganpatrao Kadam Marg, Opp. A To Z Industrial Estate, Lower Parel West, Mumbai, Maharashtra 400013, India",18.998223,72.824361,2802.8,15925,? 450.00,"? 71,66,250.00",Popular,
Worli,KIOSK KAFFEE,4.6,120,"14, Ganpatrao Kadam Marg, Upper, Worli, Mumbai, Maharashtra 400013, India",18.9981549,72.8254713,552,3000,? 450.00,"? 13,50,000.00",Premium,
Worli,Brew Haus Cafe,4.6,375,"Bhavani Shankar Cross Road, opposite JaiGopal Industries, Near Kabutar khana, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0156827,72.8379049,1725,9375,? 450.00,"? 42,18,750.00",Premium,
Worli,Caff?? Allora,4.3,290,"Ground Floor, East Zone, Phoenix Palladium, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India",18.9947512,72.8245941,1247,7250,? 350.00,"? 25,37,500.00",Popular,
Worli,"Bougain Villa, Lower Parel, Mumbai",4.2,414,"71, Ground floor, Dainik Shivner Marg, opposite Lady Ratan Tower, Gandhi Nagar, Upper Worli, Lower Parel, Mumbai, Maharashtra 400018, India",18.9927408,72.8220062,1738.8,10350,? 350.00,"? 36,22,500.00",Popular,
Worli,The Nutcracker,4.4,507,"Palladium, 2nd Floor, 462, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013, India",18.9942125,72.8241103,2230.8,12675,? 450.00,"? 57,03,750.00",Popular,
Worli,"Grandmama's Cafe, Dadar East",4.1,8457,"Dharamputra Pritam Estate, 20 & 21, Dr Babasaheb Ambedkar Marg, Dadar East, Dadar, Mumbai, Maharashtra 400014, India",19.0168049,72.8461869,34673.7,211425,? 350.00,"? 7,39,98,750.00",Popular,
